Year	Month	Region	Balance	Deposit	Adjustments
2010	1	CA	0	580.46	0
2010	1	EU	0	314.82	0
2010	1	GB	0	161.62	0
2010	1	US	0	1865.5	0
2010	2	CA	0	276.51	0
2010	3	US	0	165.2	0
2010	5	US	0	219.1	0
2010	7	AU	0	127.31	0
2010	7	CA	0	75.08	0
2010	7	EU	0	102.7	0
2010	7	GB	0	29.1	0
2010	7	JP	0	9.91	0
2010	7	US	0	354.9	0
2010	7	WW	0	72.8	0
2010	8	AU	0	4.86	0
2010	8	CA	0	8.16	0
2010	8	EU	0	11.66	0
2010	8	GB	0	6.87	0
2010	8	JP	0	2.32	-49
2010	8	US	0	113.4	0
2010	8	WW	0	4.2	0
2010	9	AU	0	5.04	0
2010	9	CA	0	6.16	0
2010	9	EU	0	18.28	0
2010	9	GB	0	8.55	0
2010	9	US	0	52.5	0
2010	9	WW	0	6.3	0
2010	10	AU	0	19.56	0
2010	10	CA	0	4.11	0
2010	10	EU	0	11.48	0
2010	10	GB	0	13.57	0
2010	10	US	0	79.8	0
2010	10	WW	0	10.5	0
2010	11	AU	0	2.54	0
2010	11	CA	0	8.26	0
2010	11	EU	0	3.79	0
2010	11	GB	0	5.02	0
2010	11	JP	0	2.36	-49
2010	11	US	0	46.2	0
2010	11	WW	0	8.4	0
2010	12	AU	0	7.52	0
2010	12	CA	0	13.31	0
2010	12	EU	0	7.85	0
2010	12	GB	0	1.73	0
2010	12	JP	0	4.72	-98
2010	12	US	0	44.1	0
2010	12	WW	0	4.2	0
2011	1	AU	0	5.14	0
2011	1	CA	0	10.73	0
2011	1	EU	0	6	0
2011	1	GB	0	15.85	0
2011	1	US	0	52.5	0
2011	1	WW	0	4.2	0
2011	2	AU	0	5.21	0
2011	2	CA	0	19.23	0
2011	2	EU	0	6.1	0
2011	2	GB	0	1.74	0
2011	2	US	0	56.7	0
2011	2	WW	0	2.1	0
2011	3	AU	0	2.72	0
2011	3	CA	0	2.21	0
2011	3	EU	0	8.47	0
