Start Date	End Date	UPC	ISRC	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer	Title	Label/Studio/Network/Developer	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
11/29/2009	12/26/2009			OMGWTFBBQ001	1	0.48	0.48	EUR	S	345338860	Craig Hockenberry	Safety Light			1		HU			0.79	EUR
11/29/2009	12/26/2009			OMGWTFBBQ001	1	0.48	0.48	EUR	S	345338860	Craig Hockenberry	Safety Light			1		EE			0.79	EUR
11/29/2009	12/26/2009			OMGWTFBBQ001	1	0.48	0.48	EUR	S	345338860	Craig Hockenberry	Safety Light			1		PT			0.79	EUR
11/29/2009	12/26/2009			OMGWTFBBQ001	1	0.48	0.48	EUR	S	345338860	Craig Hockenberry	Safety Light			1		AT			0.79	EUR
11/29/2009	12/26/2009			OMGWTFBBQ001	4	0.48	1.92	EUR	S	345338860	Craig Hockenberry	Safety Light			1		IT			0.79	EUR
11/29/2009	12/26/2009			OMGWTFBBQ001	1	0.48	0.48	EUR	S	345338860	Craig Hockenberry	Safety Light			1		DK			6.00	DKK
11/29/2009	12/26/2009			OMGWTFBBQ001	3	0.48	1.44	EUR	S	345338860	Craig Hockenberry	Safety Light			1		CH			1.10	CHF
11/29/2009	12/26/2009			OMGWTFBBQ001	5	0.48	2.40	EUR	S	345338860	Craig Hockenberry	Safety Light			1		NL			0.79	EUR
11/29/2009	12/26/2009			OMGWTFBBQ001	6	0.48	2.88	EUR	S	345338860	Craig Hockenberry	Safety Light			1		FR			0.79	EUR
11/29/2009	12/26/2009			OMGWTFBBQ001	8	0.48	3.84	EUR	S	345338860	Craig Hockenberry	Safety Light			1		DE			0.79	EUR
11/29/2009	12/26/2009			OMGWTFBBQ001	1	0.48	0.48	EUR	S	345338860	Craig Hockenberry	Safety Light			1		ES			0.79	EUR
11/29/2009	12/26/2009			OMGWTFBBQ001	3	0.48	1.44	EUR	S	345338860	Craig Hockenberry	Safety Light			1		SE			7.00	SEK
11/29/2009	12/26/2009			OMGWTFBBQ001	1	0.48	0.48	EUR	S	345338860	Craig Hockenberry	Safety Light			1		GR			0.79	EUR
11/29/2009	12/26/2009			OMGWTFBBQ001	3	0.48	1.44	EUR	S	345338860	Craig Hockenberry	Safety Light			1		BE			0.79	EUR
11/29/2009	12/26/2009			OMGWTFBBQ001	1	0.48	0.48	EUR	S	345338860	Craig Hockenberry	Safety Light			1		NO			6.00	NOK
Total_Amount:19.2
